yyyy,mm,dd,latitude,longitude,depth,mag,magType
1982,1,23,31.662,82.6,33,4.2,mb
1982,1,23,31.631,82.444,33,4.7,mb
1982,1,23,31.539,82.34,33,5,mb
1982,1,23,31.774,82.356,33,4.4,mb
1982,1,24,31.536,82.389,33,4.6,mb
1982,1,24,31.589,82.438,33,4.5,mb
1982,1,24,31.65,82.175,33,4.6,mb
1982,1,24,31.467,82.384,33,4.4,mb
1982,1,24,31.598,82.354,33,4.5,mb
1982,1,25,31.649,82.309,33,5.1,mb
1982,2,4,31.387,82.193,33,4.6,mb
1982,3,24,30.569,88.735,33,4.6,mb
1982,4,5,27.419,88.864,33,5.1,mb
1982,6,10,31.547,82.119,33,4.9,mb
1982,8,3,27.895,85.465,33,4.6,mb
1982,9,9,28.639,81.109,33,4.4,mb
1982,11,22,27.759,84.918,64.3,4.2,mb
1982,12,21,29.198,81.378,33,4.7,mb
1982,12,21,29.296,81.374,32.1,4.3,mb
1982,12,29,30.273,79.809,33,4.8,mb
1983,1,6,31.309,82.132,33,4.7,mb
1983,1,27,29.056,81.394,33,4.8,mb
1983,7,5,29.492,80.692,33,4.6,mb
1983,8,23,27.965,84.963,60.9,4.3,mb
1983,11,23,30.354,83.105,33,4.6,mb
1983,12,23,25.382,87.626,33,4.3,mb
1984,1,6,27.777,84.74,33,4.5,mb
1984,1,14,31.747,88.051,33,4.3,mb
1984,1,25,27.486,86.089,33,4.6,mb
1984,2,19,29.867,80.546,21.4,5,mb
1984,3,14,29.105,81.119,39.7,4.9,mb
1984,4,11,32.075,85.831,33,4.7,mb
1984,4,15,31.667,82.272,33,5,mb
1984,4,22,30.648,84.158,33,4.8,mb
1984,5,18,29.577,81.869,33,5.6,mb
1984,5,19,29.294,81.884,45.4,4.7,mb
1984,5,30,28.828,83.936,33,4.5,mb
1984,7,21,28.689,82.158,63.7,4.3,mb
1984,7,29,29.411,81.799,43.8,4.5,mb
1984,8,6,32.148,88.036,33,4.9,mb
1984,9,15,29.212,81.525,33,4.6,mb
1984,10,2,30.982,88.761,33,4.4,mb
1984,10,24,29.704,80.053,56.3,4.2,mb
1984,11,18,28.799,84.073,33,5.3,mb
1984,11,23,29.386,81.571,33,4.4,mb
1984,11,28,31.759,89.042,33,4.5,mb
1984,12,5,27.202,81.728,33,4.7,mb
1984,12,18,29.425,80.862,33,4.7,mb
1985,1,30,31.029,85.582,33,4.7,mb
1985,2,15,30.129,81.609,33,4.4,mb
1985,2,16,30.618,85.586,33,4.3,mb
1985,5,6,28.328,82.305,46.6,4.5,mb
1985,6,17,31.644,82.305,33,4.6,mb
1985,6,21,31.921,85.085,33,4.3,mb
1985,7,12,31.679,82.37,33,4.7,mb
1985,7,12,31.367,82.234,33,4.4,mb
1985,7,28,30.364,88.804,33,4.5,mb
1985,9,13,29.824,84.052,33,4.5,mb
1985,10,3,29.219,83.895,14.3,4.1,mb
1985,10,21,28.845,83.974,33,4.5,mb
1985,10,30,31.593,82.948,33,4.6,mb
1985,12,8,30.922,86.598,37.4,4.8,mb
1985,12,8,30.751,86.621,33,4.9,mb
1985,12,8,30.893,86.535,33,4.9,mb
1985,12,15,30.831,86.394,33,4.5,mb
1985,12,23,27.61,85.722,45.3,4.6,mb
1986,1,6,27.8,85.392,33.6,4.5,mb
1986,1,7,26.93,88.325,69.6,5,mb
1986,1,10,28.648,86.527,54.6,5.2,mw
1986,1,25,31.575,85.139,33,4.7,mb
1986,2,28,29.108,81.909,63.1,4.6,mb
1986,4,4,30.858,88.256,33,4.5,mb
1986,4,12,28.781,86.48,33,4.4,mb
1986,4,29,31.4,88.331,33,4.6,mb
1986,6,20,31.24,86.847,33,6.1,mw
1986,6,23,31.23,87.014,33,4.8,mb
1986,6,25,31.146,86.778,33,4.7,mb
1986,6,29,31.255,86.75,33,4.5,mb
1986,7,19,31.26,86.91,33,5.1,mw
1986,9,5,29.147,85.142,33,4.1,mb
1986,9,9,31.621,85.026,33,4.8,mb
1986,9,9,31.546,85.067,33,5.2,mb
1986,9,9,31.587,85.04,33,4.8,mb
1986,9,16,31.172,86.673,33,4.4,mb
1986,9,16,30.993,86.607,33,4.5,mb
1987,1,19,28.385,83.682,33,5.2,mb
1987,1,19,28.243,83.572,33,4.9,mb
1987,2,24,29.052,81.854,111.5,4.4,mb
1987,4,23,27.991,87.102,47.6,4.7,mb
1987,5,10,28.22,86.739,33,4.6,mb
1987,6,22,28.61,87.223,33,4.1,mb
1987,7,23,29.909,80.879,33,4,mb
1987,8,9,29.502,83.714,47.5,5.6,mw
1987,8,21,31.723,80.183,54.8,4.7,mb
1987,11,25,27.95,85.879,33,4.6,mb
1988,1,23,29.476,81.612,33,4.7,mb
1988,2,12,30.515,82.887,33,4.6,mb
1988,3,13,28.903,81.359,90.3,4.3,mb
1988,3,19,29.147,81.62,89.6,4.3,mb
1988,4,9,29.779,86.909,33,4.5,mb
1988,4,11,27.516,85.86,38.5,4.9,mb
1988,4,20,27.042,86.694,54.8,5.4,mb
1988,4,25,26.817,86.625,66.8,4.8,mb
1988,5,15,29.862,80.479,25.7,4.8,mb
1988,5,26,27.415,88.558,43.4,4.7,mb
1988,6,12,28.477,82.354,33,4.8,mb
1988,8,20,26.755,86.616,57.4,6.9,mw
1988,8,22,26.662,86.916,33,4.3,mb
1988,8,24,26.746,86.549,33,4.7,mb
1988,9,1,26.766,86.564,33,4.6,mb
1988,9,2,26.616,86.518,33,4.4,mb
1988,9,21,28.715,85.568,53.8,4.7,mb
1988,9,27,27.175,88.293,33,5,ms
1988,10,24,31.684,85.214,33,4.3,mb
1988,10,29,27.871,85.648,17.6,5.2,mw
1988,11,14,30.161,82.137,101.2,4.5,mb
1988,12,2,29.554,81.164,33,4.5,mb
1988,12,7,31.694,83.504,33,4.8,mb
1988,12,13,27.139,87.808,33,4,mb
1988,12,15,29.118,81.636,112,4.5,mb
1988,12,27,27.887,87.773,64.6,4.6,mb
1989,3,1,28.191,83.954,33,4.2,mb
1989,3,8,28.001,84.028,33,4.5,mb
1989,5,22,27.243,87.886,33.8,5,mb
1989,7,14,31.184,84.685,33,4.3,mb
1989,10,10,28.653,87.481,75.7,4.6,mb
1990,1,9,28.225,88.163,79.1,5.5,mb
1990,1,10,26.559,86.663,68.5,4.7,mb
1990,1,30,28.599,85.714,52.4,4.5,mb
1990,2,9,29.925,80.73,33,4.6,mb
1990,2,21,28.082,82.43,33,4.8,mb
1990,2,27,31.357,86.87,33,4.1,mb
1990,3,1,28.503,88.599,33,4.3,mb
1990,5,13,31.806,87.896,33,4.3,mb
1990,5,20,28.458,83.343,33,4.8,mb
1990,5,20,28.26,83.193,62.1,4.5,mb
1990,9,15,30.448,85.46,33,4.3,mb
1990,9,21,29.741,79.791,33,5.1,mb
1990,10,14,30.823,86.385,12,4.9,mb
1990,10,14,28.762,81.951,143.2,4.3,mb
1990,10,28,30.682,81.555,33,4.5,mb
1990,11,9,30.632,86.233,10,4.7,mb
1990,11,9,30.733,86.289,10,4.9,mb
1990,11,9,30.921,86.327,10,4.9,mb
1990,12,20,28.138,82.944,66.8,4.8,mb
1991,3,15,28.317,87.683,42.6,4.6,mb
1991,4,22,30.08,79.72,33,4.6,mb
1991,5,18,31.654,80.092,24,4.6,mb
1991,5,18,31.675,80.092,42.6,4.5,mb
1991,5,20,30.985,86.774,33,4.6,mb
1991,5,23,31.411,86.755,33,4.3,ms
1991,5,26,29.34,80.332,64.9,4.5,mb
1991,5,27,29.349,80.304,52.6,4.6,mb
1991,6,1,28.743,81.714,33,4.3,mb
1991,6,10,29.266,80.281,58.1,4.6,mb
1991,6,15,31.175,86.582,33,4.4,mb
1991,7,2,32.11,85.101,16.5,4.7,mb
1991,8,7,25.099,88.791,33,5,mb
1991,8,20,30.63,79.767,33,4.2,mb
1991,12,9,29.543,81.632,29.4,5.6,mb
1991,12,21,27.904,88.139,57.1,4.9,mb
1992,1,30,29.291,81.128,33,4.6,mb
1992,3,24,31.545,81.54,15.6,4.8,mb
1992,4,1,27.392,87.065,33,4.3,mb
1992,4,1,31.964,83.754,51.7,4.1,mb
1992,4,4,28.147,87.979,33,4.9,mb
1992,4,13,31.958,88.339,33,4.6,mb
1992,6,2,28.984,81.913,56.3,5.2,mb
1992,6,13,28.945,82.927,32.9,4.9,ms
1992,8,9,28.697,86.533,37.4,4.3,mb
1992,11,26,31.764,83.797,33,4.6,mb
1992,11,28,31.82,82.63,33,4.7,mb
1993,1,2,29.145,81.119,14.7,4.9,mb
1993,1,12,31.169,80.309,33,4.8,mb
1993,2,15,25.85,87.473,29.7,5,mb
1993,3,20,29.084,87.333,12.2,6.2,mw
1993,3,20,28.994,87.383,21.1,5.2,mw
1993,3,25,29.625,80.551,33,4.6,mb
1993,3,31,29.091,87.349,20.1,5.1,mb
1993,4,12,28.314,82.799,33,4.7,mb
1993,7,3,28.357,86.63,33,4.7,mb
1993,7,5,27.864,84.978,33,4.2,mb
1993,7,5,27.939,85.118,33,4.7,mb
1993,7,6,31.952,82.22,33,4.8,mb
1993,7,9,26.81,86.059,33,4.6,mb
1993,7,14,32.329,82.611,33,4.4,mb
1993,7,17,31.801,81.731,33,4.5,mb
1993,8,19,30.085,80.037,33,4.4,mb
1993,9,5,27.293,87.31,33,4.5,mb
1993,9,12,31.239,83.599,33,4.4,mb
1993,9,13,31.033,83.676,15.8,4.7,mb
1993,9,16,31.256,83.937,33,4.4,mb
1993,9,25,32.122,80.635,33,4.5,mb
1993,10,20,28.776,82.256,33,5,mb
1993,10,20,28.723,82.28,37.4,5.1,mb
1993,11,14,30.658,80.356,33,4.4,mb
1993,11,22,28.2,82.863,33,4.4,mb
1993,12,14,28.489,86.844,33,4.6,mb
1994,1,31,29.552,81.79,35.2,4.7,mb
1994,5,10,29.234,83.936,33,4.4,mb
1994,5,25,27.65,87.792,47.9,4.6,mb
1994,6,25,27.603,85.891,33,4.3,mb
1994,7,17,29.149,81.371,29.2,5,mb
1994,7,23,31.068,86.549,15.9,5.4,mw
1994,7,31,31.682,80.266,35.1,4.8,mb
1994,8,1,31.721,80.129,33,4.5,mb
1994,8,4,30.332,86.843,33,4,mb
1994,9,25,28.159,87.254,33,4,mb
1994,12,8,30.439,79.686,67.9,4.9,mb
1994,12,12,29.508,80.712,33,4.5,mb
1994,12,30,30.348,88.26,33,4.3,mb
1995,1,1,27.773,87.587,61.1,4.9,mb
1995,1,19,28.464,83.316,10,4.3,mb
1995,1,27,28.977,81.475,33,4.2,mb
1995,1,30,29.286,82.217,51.8,4.1,mb
1995,1,30,28.349,82.457,80.6,4,mb
1995,2,2,30.045,87.841,10,4.4,mb
1995,2,4,31.105,81.714,33,4.2,mb
1995,3,11,30.089,88.285,10,4.2,mb
1995,3,16,30.203,88.048,33,4.2,mb
1995,3,16,29.94,87.954,16.7,4.4,mb
1995,3,24,28.859,87.767,33,4.5,mb
1995,3,29,28.772,84.203,33,4.7,mb
1995,4,14,30.049,88.07,33,4.2,mb
1995,4,17,29.691,81.52,18.8,4.8,mb
1995,4,17,29.694,81.448,22.6,4.7,mb
1995,4,18,30.288,88.085,33,4.2,mb
1995,4,24,29.889,88.253,33,4.6,mb
1995,4,24,30.002,88.181,38.8,4.1,mb
1995,6,28,31.128,86.834,33,4.5,mb
1995,7,28,30.733,86.414,69.8,4.3,mb
1995,7,30,30.266,88.229,45,4.8,mb
1995,8,3,29.968,81.538,26.5,4.7,ms
1995,8,7,29.862,81.536,30.1,4.1,mb
1995,8,8,30.09,81.746,33,4.2,mb
1995,9,30,30.243,86.056,33,4,mb
1995,10,4,28.253,84.328,33,4.4,mb
1995,10,5,30.163,88.233,57.8,4.8,mb
1995,10,27,28.734,83.52,33,4.3,mb
1995,11,25,31.105,86.8,33,4.7,mb
1995,11,26,31.106,86.724,33,4.5,ms
1995,12,11,28.707,88.14,33,4.1,mb
1995,12,24,27.527,86.265,33,4.2,mb
1995,12,27,30.232,88.265,33,4.4,mb
1996,1,11,32.183,83.937,33,4.1,mb
1996,1,19,28.991,86.575,33,4.1,ml
1996,1,25,28.696,87.223,33,4.4,mb
1996,1,27,28.106,84.352,10,4.3,ml
1996,2,7,29.596,80.49,50.3,4.2,mb
1996,2,12,28.458,88.282,33,4.2,mb
1996,2,18,29.952,83.968,33,4.2,mb
1996,2,22,28.008,87.23,33,4.1,ml
1996,2,26,30.283,84.1,33,4.1,mb
1996,3,12,30.014,88.151,11.9,4.9,mb
1996,3,20,30.104,88.469,33,4,mb
1996,3,21,30.187,87.933,33,4,mb
1996,3,23,27.167,88.302,33,4,mb
1996,4,26,27.825,87.821,33,5,mb
1996,5,10,30.01,88.072,33,4.5,mb
1996,5,10,30.001,88.069,33,4.8,mb
1996,5,10,30.117,88.248,33,4.1,mb
1996,5,10,30.133,88.314,33,4,mb
1996,5,11,29.984,88.077,33,4.8,mb
1996,5,11,30.156,88.111,33,4.3,mb
1996,5,11,29.965,88.087,33,4.3,mb
1996,5,14,29.682,87.935,33,4.1,mb
1996,5,17,30.221,88.21,33,4.3,mb
1996,5,17,30.058,88.143,33,4.6,mb
1996,5,17,30.164,88.188,33,4.3,mb
1996,6,18,30.123,86.706,33,4,mb
1996,7,3,30.147,88.189,33,5.7,mwb
1996,7,3,29.862,88.113,33,4.1,mb
1996,7,3,30.468,88.187,33,4.1,mb
1996,7,3,29.993,87.944,33,4,mb
1996,7,3,29.923,88.187,33,5,mwc
1996,7,3,30.017,88.214,33,4.3,mb
1996,7,3,29.873,87.846,33,4.1,mb
1996,7,3,29.955,88.061,33,4.2,mb
1996,7,4,30.069,88.219,33,4.3,mb
1996,7,4,30.009,88.077,33,4.9,mb
1996,7,5,30.06,88.08,33,4.2,mb
1996,7,8,30.05,88.155,33,4.5,mb
1996,7,8,30.385,88.207,33,4,mb
1996,7,8,30.298,88.24,33,4.1,mb
1996,7,10,29.148,81.674,33,4,mb
1996,7,12,30.06,87.887,33,4.3,mb
1996,7,12,30.384,88.456,33,4.2,mb
1996,7,12,30.066,88.103,33,4.2,mb
1996,7,13,29.988,88.059,33,4.3,mb
1996,7,13,30.11,88.215,33,4.1,mb
1996,7,18,30.093,88.173,33,4.6,mb
1996,7,22,30.017,88.02,33,4.5,mb
1996,7,23,31.368,87.788,33,4.1,mb
1996,7,23,32.073,88.319,33,4,mb
1996,7,24,31.322,87.608,33,4.2,mb
1996,7,31,30.174,88.178,33,5.5,mwc
1996,7,31,30.111,88.143,33,5.1,mb
1996,8,3,30.076,88.255,33,4.1,mb
1996,8,25,30.139,87.736,33,4.5,mb
1996,8,29,30.089,88.18,33,4.7,mb
1996,9,13,27.033,88.234,33,4.5,mb
1996,9,25,27.433,88.552,33,5,mb
1996,10,3,28.209,87.489,33,4.5,mb
1996,10,14,29.944,88.166,33,4.4,mb
1996,11,4,29.244,81.775,76.7,4.6,mb
1996,11,8,29.345,81.637,33,5,mb
1996,12,29,29.528,81.671,33,4,mb
1996,12,30,27.435,86.638,33,5,mb
1997,1,5,29.845,80.532,33,5.6,mwc
1997,1,16,31.518,85.05,33,4.5,mb
1997,1,25,30.074,88.087,33,4.4,mb
1997,1,31,27.998,85.218,10,4.4,mb
1997,1,31,27.946,85.127,22.2,5.2,mb
1997,3,3,27.244,86.082,44.8,4.7,mb
1997,3,22,29.895,88.151,33,4.4,mb
1997,3,24,27.887,84.987,33,4.5,mb
1997,4,5,30.093,86.059,33,4.5,mb
1997,4,7,27.427,86.545,33,4.4,mb
1997,5,2,29.434,80.426,33,4.6,mb
1997,7,5,28.803,86.862,33,4.8,mb
1997,7,9,29.896,88.397,33,4.1,mb
1997,8,16,30.022,86.224,33,4.4,mb
1997,9,13,30.119,88.193,33,4.3,mb
1997,9,17,29.74,83.7,33,4.3,mb
1997,9,18,28.872,88.148,33,4.6,mb
1997,10,11,27.733,86.498,33,4.3,mb
1997,10,24,28.536,82.345,33,4.8,mb
1997,11,3,29.078,85.383,33,5.5,mwc
1997,11,19,31.925,82.923,33,4.2,mb
1997,11,27,27.618,87.347,33,5.1,mb
1997,11,27,27.74,87.761,33,4.2,mb
1997,12,8,27.475,87.175,33,5,mb
1998,1,16,30.006,86.027,33,4,mb
1998,2,1,28.19,87.122,33,4.5,mb
1998,2,12,26.517,88.199,33,4.6,mb
1998,2,22,28.453,85.435,33,4.8,mb
1998,2,22,30.117,88.156,33,4.1,mb
1998,2,22,30.215,88.047,33,4.6,mb
1998,2,28,27.024,87.561,33,4.4,mb
1998,3,15,28.554,86.886,33,4.4,mb
1998,3,18,27.368,88.334,33,4,mb
1998,5,10,29.408,82.016,33,4.1,mb
1998,5,16,26.644,84.667,33,4.2,mb
1998,6,27,27.675,85.568,33,4.9,mb
1998,7,15,29.576,81.466,33,4.7,mb
1998,7,20,30.134,88.173,33.2,5.8,mwb
1998,7,20,30.435,88.191,33,4.8,mb
1998,7,20,30.202,88.055,33,4.7,mb
1998,7,20,30.127,88.133,33,4.2,mb
1998,7,20,30.141,88.03,33,4.6,mb
1998,7,20,30.241,87.934,33,4.1,mb
1998,7,20,30.213,87.98,33,4,mb
1998,7,20,30.293,87.925,33,4.2,mb
1998,7,20,30.364,87.949,33,4.3,mb
1998,7,20,30.025,88.167,33,4,mb
1998,7,21,30.375,88.192,15.7,5.1,mwc
1998,7,21,30.435,87.955,33,4,mb
1998,7,31,28.01,87.73,33,4.1,mb
1998,8,7,30.213,88.162,33,4.3,mb
1998,8,25,30.079,88.109,33,5.9,mwc
1998,8,25,30.024,88.188,33,4.6,mb
1998,8,25,30.061,88.172,33,4.1,mb
1998,8,25,29.998,88.099,33,4.1,mb
1998,8,25,29.831,87.91,33,4.4,mb
1998,8,25,29.983,88.103,33,4.4,mb
1998,8,25,30.022,88.06,33,4.6,mb
1998,8,25,29.961,88.091,33,4.4,mb
1998,8,25,30.099,88.054,33,4.1,mb
1998,8,25,29.976,88.105,33,4.4,mb
1998,8,25,30.299,88.112,33,4.6,mb
1998,8,28,30.191,88.15,33,5,mwc
1998,8,30,30.044,88.077,33,5,ms
1998,8,30,29.904,87.989,33,4,mb
1998,8,30,30.034,88.081,33,4.6,mb
1998,9,3,27.85,86.941,33,5.6,mb
1998,9,3,27.65,86.802,33,4.4,mb
1998,9,3,27.729,86.88,33,4.1,mb
1998,9,3,27.6,86.733,33,4.6,mb
1998,9,4,27.455,86.464,33,4.1,mb
1998,9,4,27.777,86.793,33,4.2,mb
1998,9,6,27.859,86.895,33,4.6,mb
1998,9,7,30.27,88.129,33,4.7,mb
1998,9,8,30.344,88.141,33,4.4,mb
1998,9,10,27.199,88.341,33,4.7,mb
1998,9,12,27.852,86.9,33,4.2,mb
1998,9,21,29.94,88.005,33,4.1,mb
1998,9,30,29.948,88.117,33,5.2,mwc
1998,10,2,29.17,85.136,33,4.2,mb
1998,10,5,30.203,88.298,33,5.2,mwc
1998,10,24,30.405,88.155,45.9,4.1,mb
1998,11,14,31.081,86.514,33,4.2,mb
1998,11,26,27.753,87.894,73.1,5.1,mb
1998,12,1,27.935,87.649,33,4.8,mb
1998,12,25,30.328,86.472,33,4.4,mb
1999,2,1,28.492,83.188,33,4.2,mb
1999,3,19,27.748,85.609,33,4.5,mb
1999,4,24,28.379,81.161,33,4.3,mb
1999,5,28,29.356,81.003,33,4.3,mb
1999,8,1,28.442,86.733,40.2,5.2,mb
1999,9,5,28.159,87.413,33,4.5,mb
1999,10,3,30.172,88.116,33,4.3,mb
1999,11,16,30.385,82.773,33,4.6,mb
1999,12,1,30.024,81.444,33,4.5,mb
1999,12,21,30.938,86.224,33,4,mb
1999,12,25,30.314,87.689,33,4.1,mb
2000,1,11,31.336,86.573,33,4,mb
2000,1,20,27.785,85.813,33,4.4,mb
2000,1,25,31.167,86.627,33,4,mb
2000,2,21,28.442,86.578,33,4.1,mb
2000,2,26,28.494,82.145,33,4.6,mb
2000,3,13,27.656,87.852,33,4.3,mb
2000,5,5,29.398,81.573,81.3,4.4,mb
2000,5,29,30.944,87.111,33,4.1,mb
2000,5,29,30.759,86.984,33,4.4,mb
2000,6,3,31.185,87.188,33,4.5,mb
2000,7,3,31.471,84.714,33,4.5,mb
2000,7,12,31.508,83.506,33,4.8,mb
2000,10,8,30.193,88.115,33,4.7,mb
2000,10,9,29.332,81.479,33,4.1,mb
2000,10,26,29.211,81.875,33,4.8,mb
2001,3,26,31.376,85.526,33,4.3,mb
2001,4,3,27.801,86.127,33,4.6,mb
2001,4,12,29.94,88.114,33,4.6,mb
2001,4,15,29.248,81.321,33,4.3,mb
2001,4,28,28.872,87.162,33,5.2,mb
2001,4,29,28.912,87.222,33,4.7,mb
2001,6,13,31.439,85.753,54.3,4.1,mb
2001,6,13,31.379,85.756,72.4,4.5,mb
2001,7,2,30.549,86.538,33,4.5,mb
2001,7,16,27.957,85.178,33,5,mb
2001,7,16,28.133,84,33,4.1,mb
2001,8,2,32.169,83.551,40.3,4.1,mb
2001,8,6,27.66,87.427,33,4.4,mb
2001,9,13,29.762,80.488,36,4.4,mb
2001,9,27,26.817,87.593,33,4.3,mb
2001,11,7,30.106,85.452,33,4.1,mb
2001,11,23,31.286,87.414,33,4.1,mb
2001,11,27,29.606,81.752,33,5.5,mwc
2001,11,27,29.39,81.631,33,4.8,mb
2001,11,27,29.548,81.745,33,5.4,mwc
2001,11,27,29.51,81.739,33,5.1,mb
2001,11,28,29.344,81.601,33,4.2,mb
2001,11,30,29.327,81.638,33,4.7,mb
2001,12,2,31.427,86.401,33,4.4,mb
2001,12,2,27.15,88.171,33,5.1,mb
